Time Difference,user.screen_name
0 days 00:01:00.000000000,RandallRiecke
0 days 00:01:01.000000000,TellaCrosby
0 days 00:01:02.000000000,bakadesusenpai1
0 days 00:01:11.000000000,DonaldJRooseve1
0 days 00:01:15.000000000,Trumpetteco
0 days 00:01:20.000000000,Bite18155048
0 days 00:01:30.000000000,RobH5927
0 days 00:01:32.000000000,Kevin850M
0 days 00:01:32.000000000,chazzldazzl
0 days 00:01:36.000000000,jlizza1
0 days 00:01:46.000000000,ProudofUSA_76
0 days 00:01:47.000000000,j4MtehZign4L
0 days 00:01:47.000000000,bobnlydia
0 days 00:01:56.000000000,SassyFrassy81
0 days 00:01:56.000000000,LJB1752
0 days 00:02:06.000000000,kcamoberry
0 days 00:02:09.000000000,pinchlynch13
0 days 00:02:10.000000000,sheepzipper
0 days 00:02:11.000000000,keeganjames6005
0 days 00:02:13.000000000,WANAGL
0 days 00:02:15.000000000,Bill65936833
0 days 00:02:19.000000000,Eagle_Eye1776
0 days 00:02:21.000000000,NYCTemplar
0 days 00:02:23.000000000,DrGripMD
0 days 00:02:24.000000000,Trevorchew101
0 days 00:02:27.000000000,valtellez59
0 days 00:02:28.000000000,a_adev
0 days 00:02:36.000000000,AnnieAl72107182
0 days 00:02:42.000000000,bobbie_stelmach
0 days 00:02:44.000000000,pavanreddi123
0 days 00:02:47.000000000,KevinMcMahonNFL
0 days 00:02:49.000000000,TmislandsMary
0 days 00:02:49.000000000,Lizutd
0 days 00:02:56.000000000,beecharming
0 days 00:02:57.000000000,steve_glusica
0 days 00:02:57.000000000,Maga3xTrump
0 days 00:02:58.000000000,jmperagine
0 days 00:03:07.000000000,kadin001
0 days 00:03:11.000000000,ladydark770
0 days 00:03:14.000000000,koolhandluke74
0 days 00:03:15.000000000,rigobs72
0 days 00:03:15.000000000,j_khazen
0 days 00:03:16.000000000,HillaryIsRacist
0 days 00:03:22.000000000,romansun
0 days 00:03:27.000000000,John_S_33
0 days 00:03:28.000000000,RickAndKim30yrs
0 days 00:03:32.000000000,Gary_Davis_7807
0 days 00:03:33.000000000,PattyCa55857833
0 days 00:03:35.000000000,odinsonthor22
0 days 00:03:39.000000000,AshleighHoleman
0 days 00:03:40.000000000,Pittstock1
0 days 00:03:44.000000000,Nicole72inFL
0 days 00:03:50.000000000,LeeGuillaume2
0 days 00:04:01.000000000,basilard18
0 days 00:04:03.000000000,Corporatocrazy
0 days 00:04:07.000000000,bernardinoborza
0 days 00:04:11.000000000,Bosworth108
0 days 00:04:13.000000000,belive76
0 days 00:04:16.000000000,Megaaaaaannnn
0 days 00:04:24.000000000,jondoepolitics
0 days 00:04:31.000000000,Snoopysmama1
0 days 00:04:33.000000000,slone
0 days 00:04:35.000000000,FailinDemocracy
0 days 00:04:46.000000000,collins_trading
0 days 00:04:51.000000000,jenilynn1001
0 days 00:04:55.000000000,nostinknbadgers
0 days 00:04:59.000000000,andyvcoolio
0 days 00:05:02.000000000,ClintonCashJasp
0 days 00:05:03.000000000,ghostneverdie_
0 days 00:05:11.000000000,shatticus
0 days 00:05:22.000000000,h9304392
0 days 00:05:34.000000000,TinaShrtcke1010
0 days 00:05:38.000000000,Mrlnzb
0 days 00:05:51.000000000,CherriPisoot
0 days 00:05:57.000000000,SurvivorMomOf4
0 days 00:06:01.000000000,samsjaw
0 days 00:06:01.000000000,PoliticsToday_
0 days 00:06:06.000000000,wcsd1976
0 days 00:06:12.000000000,Meganwils18
0 days 00:06:12.000000000,CducSJC
0 days 00:06:12.000000000,TonyGabriello
0 days 00:06:21.000000000,ChaoGuy2006
0 days 00:06:22.000000000,Ladymab305
0 days 00:06:25.000000000,ThePatriotFile
0 days 00:06:26.000000000,rotesbruin
0 days 00:06:35.000000000,1_socalgirl1
0 days 00:06:35.000000000,ChiefDiggity
0 days 00:06:46.000000000,snappy514
0 days 00:06:57.000000000,ukuhaleyyyy
0 days 00:07:01.000000000,hockeymom9598
0 days 00:07:04.000000000,LivingSanDiego
0 days 00:07:06.000000000,112RAS
0 days 00:07:14.000000000,mltucker2
0 days 00:07:20.000000000,2daysatthespa
0 days 00:07:22.000000000,TinaSch49321883
0 days 00:07:25.000000000,RPZak0
0 days 00:07:27.000000000,DeusExPurple
0 days 00:07:29.000000000,Levi_NorwalkMMA
0 days 00:07:44.000000000,davekerr09
0 days 00:07:59.000000000,thenorm
0 days 00:08:02.000000000,Kathyco44813484
0 days 00:08:05.000000000,RatliffEllie
0 days 00:08:09.000000000,Kirk9098
0 days 00:08:15.000000000,Anshultalks
0 days 00:08:17.000000000,realKeruisi
0 days 00:08:18.000000000,DaveTheIndy
0 days 00:08:21.000000000,Freakonsight
0 days 00:08:35.000000000,putinsmomma
0 days 00:08:41.000000000,DzDownUnder
0 days 00:08:46.000000000,Zedd444Zedd
0 days 00:08:48.000000000,charjorgensen13
0 days 00:08:54.000000000,vinyldude82
0 days 00:08:56.000000000,realJPRankin
0 days 00:09:00.000000000,UnoSteveO
0 days 00:09:06.000000000,svetlyac
0 days 00:09:12.000000000,twizted_jeffrey
0 days 00:09:16.000000000,bryang_g
0 days 00:09:24.000000000,PaulcTynan
0 days 00:09:37.000000000,deplorablejdesq
0 days 00:09:38.000000000,1291Grutli
0 days 00:09:40.000000000,DCSevs
0 days 00:09:43.000000000,adagadadzis
0 days 00:09:49.000000000,inkbadgers
0 days 00:09:49.000000000,tommzombi
0 days 00:09:50.000000000,Lissa4trump
0 days 00:09:51.000000000,dstntp1lgr1m
0 days 00:09:51.000000000,phuck_you101
0 days 00:09:51.000000000,s_inttam
0 days 00:09:55.000000000,diane_notini
0 days 00:09:57.000000000,SDNorthShore2
0 days 00:10:03.000000000,NaBuenaNota
0 days 00:10:06.000000000,333pippi
0 days 00:10:07.000000000,northonsixty1
0 days 00:10:11.000000000,Indomiti
0 days 00:10:14.000000000,kmichelley42
0 days 00:10:27.000000000,ihearttrump1
0 days 00:10:28.000000000,SamTin211
0 days 00:10:28.000000000,Lory01685346
0 days 00:10:31.000000000,LIpatriot1
0 days 00:10:39.000000000,6bird4
0 days 00:10:39.000000000,walker7727
0 days 00:10:42.000000000,anuttar
0 days 00:10:46.000000000,CIABillWilson
0 days 00:10:51.000000000,nshugart74
0 days 00:10:54.000000000,FreeDavidKing
0 days 00:10:56.000000000,chiugo22
0 days 00:10:58.000000000,TheDestro123
0 days 00:11:03.000000000,_Durty_
0 days 00:11:06.000000000,GonzaloViktor
0 days 00:11:15.000000000,gotrump247
0 days 00:11:28.000000000,DeplorableJosh1
0 days 00:11:32.000000000,KathyDeGreef1
0 days 00:11:38.000000000,LizJim46
0 days 00:11:46.000000000,UniversityWatc1
0 days 00:11:50.000000000,AngelinaRuffolo
0 days 00:11:55.000000000,cadenpennick33
0 days 00:11:58.000000000,Angrymike281
0 days 00:12:00.000000000,bettina_forsman
0 days 00:12:00.000000000,VOTEferTRUMP
0 days 00:12:08.000000000,xdbz24
0 days 00:12:11.000000000,Randysm63411974
0 days 00:12:12.000000000,Jayelecctronica
0 days 00:12:14.000000000,IslandOfTruth
0 days 00:12:16.000000000,RealSonOfOryx
0 days 00:12:18.000000000,kyleeardolino39
0 days 00:12:20.000000000,nikkibaker007
0 days 00:12:22.000000000,docrose_rose
0 days 00:12:29.000000000,edbvhgksjkfmt
0 days 00:12:33.000000000,The_Wily_Lime
0 days 00:12:42.000000000,S10MD3141592ne
0 days 00:12:53.000000000,Luvantine
0 days 00:12:55.000000000,altrightmrpepe
0 days 00:12:58.000000000,damnitcole
0 days 00:13:02.000000000,motorhogman
0 days 00:13:08.000000000,Alien00X
0 days 00:13:09.000000000,DarcyMoriarity
0 days 00:13:15.000000000,Pioneer_1739
0 days 00:13:18.000000000,kiwiiboyhood
0 days 00:13:22.000000000,texcountry44
0 days 00:13:34.000000000,nanaluvsthree3
0 days 00:13:34.000000000,IamyHuckleberry
0 days 00:13:37.000000000,mkeeastsider
0 days 00:13:42.000000000,DayquonX
0 days 00:13:47.000000000,Rich_Rod420
0 days 00:14:11.000000000,TheSouthernLord
0 days 00:14:26.000000000,SandsGuy
0 days 00:14:30.000000000,FarmerEllis
0 days 00:14:33.000000000,ARCHISIDDHARTH
0 days 00:14:36.000000000,Icarus969
0 days 00:14:39.000000000,gonloren
0 days 00:14:50.000000000,bVandergraf
0 days 00:15:01.000000000,PussyfootP
0 days 00:15:14.000000000,nik5298
0 days 00:15:15.000000000,Bo1Dallas
0 days 00:15:16.000000000,Minniecheske
0 days 00:15:22.000000000,SamRomine3
0 days 00:15:22.000000000,RonnieWSC
0 days 00:15:26.000000000,almac8241951
0 days 00:15:31.000000000,libernty
0 days 00:15:37.000000000,devhayscpa
0 days 00:15:41.000000000,Grjotgard
0 days 00:15:46.000000000,Billsgrumpy
0 days 00:15:48.000000000,nitinkumarm
0 days 00:15:49.000000000,YurCher38
0 days 00:15:52.000000000,joshsanders71
0 days 00:15:56.000000000,veronicurss__1
0 days 00:16:05.000000000,Messsmer
0 days 00:16:06.000000000,WeTheVigilant
0 days 00:16:07.000000000,Loganlawrence9
0 days 00:16:07.000000000,JoyceJelinek
0 days 00:16:10.000000000,royb2428
0 days 00:16:13.000000000,RONINFIJI
0 days 00:16:13.000000000,Thank_Me_L8er
0 days 00:16:14.000000000,AwalAznable
0 days 00:16:14.000000000,Michelle3wits
0 days 00:16:28.000000000,rrtaylor52
0 days 00:16:33.000000000,DeeLouiseWhitn1
0 days 00:16:46.000000000,luuueeezz
0 days 00:16:47.000000000,los_b2
0 days 00:17:03.000000000,GCMerelbeke
0 days 00:17:09.000000000,toddwhaines
0 days 00:17:11.000000000,unltedLowest
0 days 00:17:11.000000000,TruckerBobS
0 days 00:17:18.000000000,puggywuggy2015
0 days 00:17:35.000000000,carmela_largo
0 days 00:17:37.000000000,gauravgamer
0 days 00:17:46.000000000,kellen03__
0 days 00:17:47.000000000,JustWailmer
0 days 00:17:52.000000000,John_Doe_V
0 days 00:17:57.000000000,Johnsimone15
0 days 00:17:59.000000000,Mchildress24
0 days 00:18:00.000000000,Eta1513
0 days 00:18:10.000000000,JakeHuangActlon
0 days 00:18:11.000000000,DeanSoFar
0 days 00:18:16.000000000,Fikile_S_Kaoyao
