,Time Difference,user.screen_name
2772,0 days 00:06:11.000000000,itzm0nkey_
2797,0 days 00:06:18.000000000,Arslan_Chughtai
2803,0 days 00:06:19.000000000,ddanielczyk
2808,0 days 00:06:20.000000000,shandracor
2818,0 days 00:06:22.000000000,aukkaaa
2822,0 days 00:06:23.000000000,vaino_santala
2824,0 days 00:06:23.000000000,6ixRaptorsLeafs
2837,0 days 00:06:26.000000000,Hemant26495895
2853,0 days 00:06:30.000000000,gautamperi
2867,0 days 00:06:33.000000000,a_m_i_am
2877,0 days 00:06:35.000000000,AmenZile
2913,0 days 00:06:42.000000000,Studio_MAM
2928,0 days 00:06:44.000000000,DanidotExe
2929,0 days 00:06:44.000000000,NithinAlexand3r
2930,0 days 00:06:45.000000000,SloppyCoat
2934,0 days 00:06:45.000000000,InfiniteVoid01
2950,0 days 00:06:48.000000000,Toiwing
2953,0 days 00:06:49.000000000,marco_rdrgz
2976,0 days 00:06:54.000000000,1gagecampbell
2988,0 days 00:06:56.000000000,logankrishna
2990,0 days 00:06:56.000000000,Krishhhnaaa1408
2999,0 days 00:06:58.000000000,bjfriendly
3022,0 days 00:07:02.000000000,psamg
3057,0 days 00:07:09.000000000,AndrewM89459976
3058,0 days 00:07:09.000000000,sekmeth
3085,0 days 00:07:15.000000000,AdamCankle
3095,0 days 00:07:18.000000000,rdlaughter
3110,0 days 00:07:20.000000000,DAKR97
3122,0 days 00:07:22.000000000,joaocouvreur
3126,0 days 00:07:22.000000000,vatu99
3134,0 days 00:07:24.000000000,tdashworth
3140,0 days 00:07:25.000000000,Fre_Geek
3151,0 days 00:07:27.000000000,AdrianIonitaFX
3159,0 days 00:07:29.000000000,vlad1pintea
3173,0 days 00:07:32.000000000,n_hashir1
3178,0 days 00:07:33.000000000,28492SWAPNIL
3179,0 days 00:07:33.000000000,ed_degab
3200,0 days 00:07:38.000000000,EurostarStef
3248,0 days 00:07:49.000000000,Ordan_Illorino
3255,0 days 00:07:50.000000000,iamorrery
3267,0 days 00:07:54.000000000,pl_champigny
3273,0 days 00:07:56.000000000,BariczNorbert
3275,0 days 00:07:57.000000000,tardistakeoff
3276,0 days 00:07:57.000000000,Shiv_p24
3292,0 days 00:08:00.000000000,Hubs_M
3298,0 days 00:08:02.000000000,scottfries80
3301,0 days 00:08:03.000000000,HLoakman
3305,0 days 00:08:03.000000000,totzadorbz
3317,0 days 00:08:06.000000000,fariji1990
3318,0 days 00:08:06.000000000,skjeggtronder
3321,0 days 00:08:06.000000000,PedalLemur46
3344,0 days 00:08:10.000000000,djbrogdon916
3353,0 days 00:08:13.000000000,alexisf7
3362,0 days 00:08:15.000000000,tesseraxz
3375,0 days 00:08:19.000000000,Mirza_Khalilov
3378,0 days 00:08:20.000000000,Mario014
3379,0 days 00:08:20.000000000,nickhowcumfu
3380,0 days 00:08:20.000000000,dsoljann
3381,0 days 00:08:20.000000000,HamoudAlshaya
3382,0 days 00:08:20.000000000,musman2590
3383,0 days 00:08:20.000000000,AndrewGoldmanLA
3396,0 days 00:08:22.000000000,Ibiyinka2011
3409,0 days 00:08:25.000000000,mahin_gadkari
3420,0 days 00:08:28.000000000,GeorgeMa7
3421,0 days 00:08:28.000000000,tomczykDK
3434,0 days 00:08:32.000000000,zoalsdean
3448,0 days 00:08:34.000000000,galen_weaver
3452,0 days 00:08:35.000000000,SadFace8383
3454,0 days 00:08:35.000000000,MattOlson2418
3465,0 days 00:08:37.000000000,Airmaxchen
3478,0 days 00:08:39.000000000,CH4CH4BE4T
3484,0 days 00:08:41.000000000,hjtrivedi
3517,0 days 00:08:48.000000000,nkarampi
3522,0 days 00:08:49.000000000,verhelstyentl
3543,0 days 00:08:55.000000000,_amjad_hamood
3567,0 days 00:09:00.000000000,PayneNerlin
3569,0 days 00:09:00.000000000,ludroscola
3585,0 days 00:09:06.000000000,radman_84
3604,0 days 00:09:10.000000000,Jockemaag
3613,0 days 00:09:12.000000000,Vish_BK
3627,0 days 00:09:16.000000000,hb_cfc
3643,0 days 00:09:21.000000000,Thecool233
3645,0 days 00:09:22.000000000,leximexidexi
3646,0 days 00:09:22.000000000,kezcub
3655,0 days 00:09:24.000000000,Eponation
3664,0 days 00:09:27.000000000,dansbrother
3680,0 days 00:09:31.000000000,justmacleod
3684,0 days 00:09:32.000000000,blobsox
3697,0 days 00:09:35.000000000,javierationmex
3706,0 days 00:09:37.000000000,phil986a
