,Time Difference,user.screen_name
341,0 days 03:03:28.000000000,LOYALtoTRUMP
343,0 days 03:05:44.000000000,HeartSurvivor07
346,0 days 03:09:36.000000000,FawnFargo
347,0 days 03:11:18.000000000,CAgirlsforTrump
352,0 days 03:18:52.000000000,RolandXSweden
354,0 days 03:21:48.000000000,BadgerWhooligan
355,0 days 03:23:47.000000000,jimuckmac
357,0 days 03:25:03.000000000,ThomasTheobald3
358,0 days 03:25:35.000000000,Nationalist1776
361,0 days 03:31:30.000000000,jwrother
362,0 days 03:34:49.000000000,Beata_0101
363,0 days 03:37:56.000000000,EmmasatBiafra
365,0 days 03:40:15.000000000,harden_beverly
366,0 days 03:41:38.000000000,pfeifer_russel
367,0 days 03:43:41.000000000,mlknew2012
368,0 days 03:44:43.000000000,casey2513
369,0 days 03:45:00.000000000,Jesus2Come
370,0 days 03:46:31.000000000,candyw
372,0 days 03:47:49.000000000,cjsmith2373
373,0 days 03:49:12.000000000,angelena4Cs
374,0 days 03:50:56.000000000,AlVader
375,0 days 03:51:53.000000000,LynnesCommunity
376,0 days 03:52:47.000000000,blackhat57
377,0 days 03:54:28.000000000,RatnerLynn
378,0 days 03:56:41.000000000,blairs7x70
381,0 days 04:17:35.000000000,mehulkamdar
383,0 days 04:20:23.000000000,chicagonavy71
386,0 days 04:36:28.000000000,dcnite56
390,0 days 04:49:04.000000000,charlespm777
391,0 days 04:49:46.000000000,VinJenn0627
392,0 days 04:50:44.000000000,EDMATIK
393,0 days 04:51:11.000000000,GigiLs88
394,0 days 04:53:28.000000000,reggaetonbrands
395,0 days 04:56:41.000000000,rokko987
396,0 days 04:56:43.000000000,IsabelaRM1
397,0 days 05:01:28.000000000,Akemm2Annette
398,0 days 05:06:13.000000000,DjgiovanniNYC1
399,0 days 05:06:23.000000000,woitekj
400,0 days 05:07:55.000000000,souronions
402,0 days 05:19:45.000000000,citizenam1
403,0 days 05:20:17.000000000,MeTyWil
404,0 days 05:22:03.000000000,BrandonLockeNC
407,0 days 05:23:03.000000000,petatusa
411,0 days 05:26:56.000000000,brokerbev1
412,0 days 05:27:14.000000000,Ginlefebvre
413,0 days 05:27:20.000000000,jemccauleyjr
414,0 days 05:28:32.000000000,markiemmm
415,0 days 05:29:20.000000000,SandyEVetmom
416,0 days 05:29:47.000000000,BDFrasier
417,0 days 05:31:36.000000000,redwarpig
418,0 days 05:32:26.000000000,laridor1
420,0 days 05:40:53.000000000,pocidebi
421,0 days 05:44:23.000000000,DonohoeEthan
423,0 days 05:46:13.000000000,iofbeholdervtg
424,0 days 05:49:36.000000000,GGDOVE
426,0 days 05:56:45.000000000,rickybobby90210
427,0 days 05:59:07.000000000,matandsher
428,0 days 05:59:28.000000000,kalitzlina
429,0 days 06:03:56.000000000,Alene_Pedigo
430,0 days 06:04:18.000000000,YouShopDirect
432,0 days 06:14:15.000000000,NECEXAM
433,0 days 06:18:57.000000000,VelvaDStevenson
435,0 days 06:20:38.000000000,ALilJaded4u2
436,0 days 06:21:03.000000000,Patches1880
437,0 days 06:25:38.000000000,KimosabeBonet
438,0 days 06:25:50.000000000,AcerbicAxioms
441,0 days 06:31:21.000000000,VA4DJT
442,0 days 06:33:51.000000000,Maritza03239786
443,0 days 06:53:15.000000000,lancasterwhims
