id,retweeted_status.id,created_at,retweeted_status.created_at,retweeted_status.user.screen_name,retweeted_status.user.id,retweeted_status.user.friends_count,retweeted_status.user.followers_count,user.screen_name,user.id,user.friends_count,user.followers_count,retweeted_status.retweet_count,retweeted_status.text
795983576655339521,795982963909357568,Tue Nov 08 13:37:27 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135779,Josue_Aguiluz,1220379144,208,310,63,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983579293646848,795982963909357568,Tue Nov 08 13:37:28 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135779,305Pirate,21469302,611,997,63,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983584205144068,795982963909357568,Tue Nov 08 13:37:29 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135779,SteveTSRA,116734678,936,473,64,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983589712261120,795982963909357568,Tue Nov 08 13:37:31 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135778,sallamm446,789779815427665924,77,80,65,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983590769197056,795982963909357568,Tue Nov 08 13:37:31 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135778,BeccaR99,357706824,373,132,66,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983596079157248,795982963909357568,Tue Nov 08 13:37:32 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135778,JHarriettha,763921271604195328,219,112,67,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983600311267328,795982963909357568,Tue Nov 08 13:37:33 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,ConnorSchell,24055603,357,1907,68,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983602643333120,795982963909357568,Tue Nov 08 13:37:34 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,SilviaAnasasi,93866260,378,78,69,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983608922173440,795982963909357568,Tue Nov 08 13:37:35 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,ESneadDaBomb,345493657,1132,297,70,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983610620809216,795982963909357568,Tue Nov 08 13:37:36 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,goat_musings,450052764,637,263,71,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983614907469824,795982963909357568,Tue Nov 08 13:37:37 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,jaron_vasquez,3735718637,187,114,72,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983618518712320,795982963909357568,Tue Nov 08 13:37:37 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,atomicpunk13,274683355,114,77,73,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983627939155968,795982963909357568,Tue Nov 08 13:37:40 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,_Fuckingvega,587996022,1180,1228,75,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983628354330624,795982963909357568,Tue Nov 08 13:37:40 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,lcf42,19408886,998,929,76,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983631067906050,795982963909357568,Tue Nov 08 13:37:40 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135766,uptown_one,1450422866,2691,1190,77,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983635761528832,795982963909357568,Tue Nov 08 13:37:42 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,robincalhoun6,614880981,1471,66,78,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983638248693760,795982963909357568,Tue Nov 08 13:37:42 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135777,bluekel,37454135,585,589,79,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983643206238208,795982963909357568,Tue Nov 08 13:37:43 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135766,Shitter03757773,706576623739338752,73,3,80,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
795983659790581760,795982963909357568,Tue Nov 08 13:37:47 +0000 2016,Tue Nov 08 13:35:01 +0000 2016,jimmykimmel,26053643,488,8135765,LuciaLiliana,80711020,562,46,81,BREAKING - @RealDonaldTrump endorses @HillaryClinton for President... https://t.co/o4LlAUPNcC
