"_id",created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
5821dcce369b220024821290,Tue Nov 08 14:10:23 +0000 2016,795991860523204608,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,37,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",190,259,785183708072542208,AndoreaverA
5821dcd5369b220024821377,Tue Nov 08 14:10:30 +0000 2016,795991891728703488,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,38,5150,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",166,88,2821141736,AlwaysRedPillin
5821dcda369b220024821403,Tue Nov 08 14:10:35 +0000 2016,795991911148486660,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,40,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",80,237,346676883,AAGMONEY1
5821dce6369b220024821568,Tue Nov 08 14:10:47 +0000 2016,795991961702436864,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,41,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",172,269,4853488571,BethCarr20
5821dcf6369b22002482177c,Tue Nov 08 14:11:02 +0000 2016,795992028135952384,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,43,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",1214,143,714235834463981568,CathyMAGA
5821dcfb369b22002482181a,Tue Nov 08 14:11:08 +0000 2016,795992049371594752,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,44,5150,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",1850,1782,3313692566,PatriotIBRWB
5821dcfe369b220024821884,Tue Nov 08 14:11:11 +0000 2016,795992063347228673,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,45,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",1312,3564,2157144406,DanielDastti
5821dd05369b220024821936,Tue Nov 08 14:11:18 +0000 2016,795992091386122241,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,46,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",146,71,232399133,allditchdigger
5821dd09369b2200248219ad,Tue Nov 08 14:11:22 +0000 2016,795992108062609408,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,47,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",37,17,288574185,RickJWagner
5821dd0b369b2200248219f5,Tue Nov 08 14:11:24 +0000 2016,795992117206257664,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,48,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",32,72,1963325634,mhocker10
