Time Difference,user.screen_name,Column1
0 days 01:12:25.000000000,Beverly86418528,4
0 days 02:20:13.000000000,Beverly86418528,4
0 days 02:45:50.000000000,Beverly86418528,4
0 days 04:12:46.000000000,Bevsjoy1,4
0 days 00:37:24.000000000,Bevsjoy1,4
0 days 03:29:23.000000000,Bevsjoy1,4
0 days 04:12:46.000000000,Bevsjoy1,4
0 days 05:29:09.000000000,BigSaviorTrump,4
0 days 01:02:25.000000000,BigSaviorTrump,4
0 days 00:11:20.000000000,BigSaviorTrump,4
0 days 05:29:09.000000000,BigSaviorTrump,4
0 days 05:57:38.000000000,BigZees,4
0 days 02:15:19.000000000,BigZees,4
0 days 01:28:09.000000000,BigZees,4
0 days 05:57:38.000000000,BigZees,4
0 days 02:41:37.000000000,Black_Feather55,4
0 days 00:06:50.000000000,Black_Feather55,4
0 days 01:17:17.000000000,Black_Feather55,4
0 days 02:41:37.000000000,Black_Feather55,4
0 days 01:53:36.000000000,Blueyes401,4
0 days 02:01:10.000000000,Blueyes401,4
0 days 02:15:36.000000000,Blueyes401,4
0 days 01:53:36.000000000,Blueyes401,4
0 days 02:54:03.000000000,BLUIZK81,4
0 days 01:47:51.000000000,BLUIZK81,4
0 days 01:18:05.000000000,BLUIZK81,4
0 days 02:54:03.000000000,BLUIZK81,4
0 days 02:15:07.000000000,boatdood,4
0 days 01:19:56.000000000,boatdood,4
0 days 00:09:53.000000000,boatdood,4
0 days 02:15:07.000000000,boatdood,4
0 days 02:04:01.000000000,BradPerrin1,4
0 days 03:04:15.000000000,BradPerrin1,4
0 days 00:09:31.000000000,BradPerrin1,4
0 days 02:04:01.000000000,BradPerrin1,4
0 days 05:04:24.000000000,Brendag38323989,4
0 days 02:58:37.000000000,Brendag38323989,4
0 days 01:54:26.000000000,Brendag38323989,4
0 days 05:04:24.000000000,Brendag38323989,4
0 days 04:27:45.000000000,brettmartzke,4
0 days 00:13:58.000000000,brettmartzke,4
0 days 00:07:22.000000000,brettmartzke,4
0 days 04:27:45.000000000,brettmartzke,4
0 days 01:21:19.000000000,BSU_BRONCOS,4
0 days 00:11:40.000000000,BSU_BRONCOS,4
0 days 00:09:56.000000000,BSU_BRONCOS,4
0 days 01:21:19.000000000,BSU_BRONCOS,4
0 days 00:17:43.000000000,BuckTysn,4
0 days 00:26:22.000000000,BuckTysn,4
0 days 00:22:32.000000000,BuckTysn,4
0 days 00:17:43.000000000,BuckTysn,4
0 days 00:41:25.000000000,Buppy9999,4
0 days 00:41:25.000000000,Buppy9999,4
0 days 00:41:25.000000000,Buppy9999,4
0 days 00:41:25.000000000,Buppy9999,4
0 days 00:13:27.000000000,bworrall2,4
0 days 00:44:11.000000000,bworrall2,4
0 days 03:33:59.000000000,bworrall2,4
0 days 00:13:27.000000000,bworrall2,4
0 days 07:31:59.000000000,carolfhandy,4
0 days 04:41:10.000000000,carolfhandy,4
0 days 01:42:36.000000000,carolfhandy,4
0 days 07:31:59.000000000,carolfhandy,4
0 days 00:11:25.000000000,CathyMAGA,4
0 days 01:27:16.000000000,CathyMAGA,4
0 days 03:52:02.000000000,CathyMAGA,4
0 days 00:11:25.000000000,CathyMAGA,4
0 days 00:17:43.000000000,christiang415,4
0 days 00:34:03.000000000,christiang415,4
0 days 00:31:14.000000000,christiang415,4
0 days 00:17:43.000000000,christiang415,4
0 days 02:20:23.000000000,cranes5,4
0 days 00:32:52.000000000,cranes5,4
0 days 00:05:51.000000000,cranes5,4
0 days 02:20:23.000000000,cranes5,4
0 days 00:09:05.000000000,cthetruthhurts,4
0 days 01:50:06.000000000,cthetruthhurts,4
0 days 01:00:09.000000000,cthetruthhurts,4
0 days 00:09:05.000000000,cthetruthhurts,4
0 days 01:50:02.000000000,ctsew377,4
0 days 01:54:13.000000000,ctsew377,4
0 days 01:49:39.000000000,ctsew377,4
0 days 01:50:02.000000000,ctsew377,4
0 days 01:31:37.000000000,danielbeltejar,4
0 days 01:32:44.000000000,danielbeltejar,4
0 days 01:31:37.000000000,danielbeltejar,4
0 days 01:32:44.000000000,danielbeltejar,4
0 days 01:00:06.000000000,DaveDmart30959,4
0 days 00:08:26.000000000,DaveDmart30959,4
0 days 00:01:25.000000000,DaveDmart30959,4
0 days 01:00:06.000000000,DaveDmart30959,4
0 days 02:08:22.000000000,Debbierg51,4
0 days 01:25:47.000000000,Debbierg51,4
0 days 01:09:17.000000000,Debbierg51,4
0 days 02:08:22.000000000,Debbierg51,4
0 days 08:44:09.000000000,Denise7Berry,4
