Time Difference,user.screen_name
0 days 05:58:46.000000000,Geo_F1
0 days 05:59:31.000000000,Zgsquare
0 days 00:00:35.000000000,thalls37
0 days 00:00:35.000000000,GregFlowers12
0 days 00:00:37.000000000,geddie21
0 days 00:00:40.000000000,dylan_bruser
0 days 00:00:42.000000000,grog1324
0 days 00:00:43.000000000,tvavs15
0 days 00:00:43.000000000,JWA_Two
0 days 00:00:43.000000000,Parker_Samples3
0 days 00:00:44.000000000,JessBlevinsOH
0 days 00:00:45.000000000,inGODLEYwetrust
0 days 00:00:47.000000000,Sean_Carlson21
0 days 00:00:48.000000000,ASchwierjohann
0 days 00:00:49.000000000,BrandonMillman
0 days 00:00:51.000000000,Chops480
0 days 00:00:53.000000000,61gabester
0 days 00:00:55.000000000,MaizeBlue2
0 days 00:00:55.000000000,WhoDeyJen
0 days 00:00:57.000000000,helenholthaus1
0 days 00:01:01.000000000,pl0610
0 days 00:01:02.000000000,Kris_Selvey10
0 days 00:01:02.000000000,McKimChris
0 days 00:01:05.000000000,a_sheranko116
0 days 00:01:05.000000000,steelers2330
0 days 00:01:07.000000000,ShadyNasty_22
0 days 00:01:07.000000000,JIMMIEUKFAN
0 days 00:01:07.000000000,lswavel
0 days 00:01:08.000000000,Felipescott14
0 days 00:01:08.000000000,Crackerjen
0 days 00:01:10.000000000,joey_adleta
0 days 00:01:13.000000000,clksoccer22
0 days 00:01:14.000000000,hlsmith76
0 days 00:01:22.000000000,Trey_Bottorff
0 days 00:01:27.000000000,Dat_kap
0 days 00:01:28.000000000,jay_mcknight365
0 days 00:01:40.000000000,Biggy_67
0 days 00:01:41.000000000,Wadds32
0 days 00:01:41.000000000,LilyMcGinnis33
0 days 00:01:43.000000000,Callieh71
0 days 00:01:51.000000000,mattsprandel
0 days 00:01:52.000000000,Doublet82
0 days 00:01:58.000000000,tory_bowling24
0 days 00:02:00.000000000,JKH5199
0 days 00:02:00.000000000,BrianHKelly
0 days 00:02:00.000000000,cheynw99
0 days 00:02:04.000000000,garpike28
0 days 00:02:04.000000000,haley_j08
0 days 00:02:07.000000000,kristintijerina
0 days 00:02:09.000000000,DerikBrace
0 days 00:02:12.000000000,RNBrolley
0 days 00:02:16.000000000,JDauby10
0 days 00:02:19.000000000,Morgodomis
0 days 00:02:20.000000000,lisdimarco
0 days 00:02:21.000000000,kelci_malone
0 days 00:02:21.000000000,wasserbug
0 days 00:02:28.000000000,madison_siggers
0 days 00:02:30.000000000,Fallen_Sparrow1
0 days 00:02:38.000000000,johnnyn45
0 days 00:02:42.000000000,SahSports4883
0 days 00:02:48.000000000,R0GERDAAT
0 days 00:02:50.000000000,redsmccurdygal
0 days 00:02:53.000000000,vliebert
0 days 00:02:54.000000000,Akbb12
0 days 00:02:59.000000000,PresJackson
0 days 00:03:06.000000000,_PMock_
0 days 00:03:13.000000000,EricC1717
0 days 00:03:22.000000000,Beane33
0 days 00:03:23.000000000,Ryancook_19
0 days 00:03:35.000000000,RobKnievel
0 days 00:03:43.000000000,lostweatherguy
0 days 00:03:47.000000000,rooneymarkwayne
0 days 00:03:52.000000000,BrndnBkr
0 days 00:03:53.000000000,JTKohlrieser
0 days 00:04:00.000000000,JoniLoveVWBugs
0 days 00:04:08.000000000,lionessblack
0 days 00:04:16.000000000,nlmartin95
0 days 00:04:22.000000000,jlhenderson20
0 days 00:04:22.000000000,CMSepeda27
0 days 00:04:24.000000000,goalie522
0 days 00:04:28.000000000,mahler021
0 days 00:04:29.000000000,trapp_erin
0 days 00:04:33.000000000,mrgator85
0 days 00:04:52.000000000,justinmitchell2
0 days 00:05:01.000000000,graham_eyd
0 days 00:05:06.000000000,Gregorygabbard
0 days 00:05:11.000000000,Greg_Wiesemann
0 days 00:05:13.000000000,GoRed44
0 days 00:05:21.000000000,JustinMBraun
0 days 00:05:24.000000000,bdhumble
0 days 00:05:24.000000000,Harris_C_22
0 days 00:05:27.000000000,garymartinmclp
0 days 00:05:36.000000000,mo_bostard
0 days 00:05:40.000000000,bigb_bassin
0 days 00:05:48.000000000,larrylegend007
0 days 00:06:00.000000000,loren_the_king
0 days 00:06:13.000000000,RealWilliamCarr
0 days 00:06:14.000000000,SMast29
0 days 00:06:15.000000000,smokshootr2
0 days 00:06:15.000000000,cerny_andrew
0 days 00:06:22.000000000,Hawke22
0 days 00:06:27.000000000,khealy13
0 days 00:06:38.000000000,ItsMarkMorgan
0 days 00:06:39.000000000,SupaDope_ill
0 days 00:06:52.000000000,matthewgann24
0 days 00:06:53.000000000,cincygirl21
0 days 00:07:05.000000000,DatDudeKR
0 days 00:07:05.000000000,reneepiner
0 days 00:07:06.000000000,FrontierBrian
0 days 00:07:10.000000000,ARoss99
0 days 00:07:20.000000000,nbmeyer
0 days 00:07:22.000000000,amatzko
0 days 00:07:26.000000000,joelkaser
0 days 00:07:46.000000000,chipgeo24
0 days 00:07:50.000000000,drayahjohnston
0 days 00:07:56.000000000,EricHultz
0 days 00:08:04.000000000,andrewshinkle
0 days 00:08:11.000000000,ChadLinthicum
0 days 00:08:22.000000000,Whinesalot
0 days 00:08:22.000000000,wvudave3
0 days 00:08:25.000000000,cpatrick40
0 days 00:08:26.000000000,GSunDarrenReese
0 days 00:08:26.000000000,daturley6070
0 days 00:08:30.000000000,KyleWilliamFox
0 days 00:08:32.000000000,Rylo__Ken
0 days 00:08:39.000000000,cseibert57
0 days 00:08:42.000000000,ZRDavis23
0 days 00:08:55.000000000,eli_schreck14
0 days 00:08:59.000000000,mcblevins116
0 days 00:09:00.000000000,andytheredsfan
0 days 00:09:04.000000000,Stone_Lanes
0 days 00:09:05.000000000,ALECgator13
0 days 00:09:06.000000000,dan_kellish
0 days 00:09:10.000000000,Kodylee13
0 days 00:09:12.000000000,jgranger
0 days 00:09:15.000000000,glenngibson
0 days 00:09:20.000000000,Hardy_McNotsoft
0 days 00:09:33.000000000,morganpearce69
0 days 00:09:35.000000000,MMavredakis
0 days 00:09:36.000000000,Nick4six
0 days 00:09:37.000000000,burayw0a
0 days 00:09:39.000000000,MFreyPGA
0 days 00:09:47.000000000,EMarybat
0 days 00:09:58.000000000,mstone072606
0 days 00:10:12.000000000,jammin_jamey
0 days 00:10:18.000000000,KenDaddy43
0 days 00:10:29.000000000,JamesToland2
0 days 00:10:47.000000000,MattieSteals
0 days 00:10:48.000000000,Jondowling22
0 days 00:10:51.000000000,spatrickf
0 days 00:10:56.000000000,cftyuik
0 days 00:10:58.000000000,Alexmarsala47
0 days 00:11:00.000000000,jacobheheman
0 days 00:11:07.000000000,Stewseph
0 days 00:11:17.000000000,AlDub_ph01
0 days 00:11:34.000000000,JBK20SMK
0 days 00:11:37.000000000,CandlestickWill
0 days 00:11:40.000000000,redsfan1975
0 days 00:11:45.000000000,gergsport
0 days 00:11:52.000000000,SeanHarterEsq
0 days 00:11:58.000000000,czody121
0 days 00:12:05.000000000,bwisenb
0 days 00:12:08.000000000,ktscas
0 days 00:12:09.000000000,megwillis12
0 days 00:12:10.000000000,jack_bieker
0 days 00:12:11.000000000,CCJSGilles
0 days 00:12:11.000000000,DM68KBS
0 days 00:12:16.000000000,Morgancheruiyot
0 days 00:12:21.000000000,iamsam0296
0 days 00:12:26.000000000,JaysonKinsey79
0 days 00:12:30.000000000,johawnsona44
0 days 00:12:51.000000000,soccerman19714
0 days 00:12:58.000000000,simplysp14
0 days 00:13:03.000000000,datmanhollon
0 days 00:13:10.000000000,GoodSKGirl
0 days 00:13:34.000000000,Dutch_ball
0 days 00:13:45.000000000,bwils_17
0 days 00:13:54.000000000,jessieestes
0 days 00:13:58.000000000,adover17
0 days 00:14:00.000000000,BildoGoInHammer
0 days 00:14:02.000000000,Djk_914
0 days 00:14:10.000000000,topp_shane
0 days 00:14:13.000000000,melty213
0 days 00:14:25.000000000,mormol3
0 days 00:14:32.000000000,joe_veeneman
0 days 00:14:38.000000000,Alex_Jones2019
0 days 00:14:43.000000000,whodat2162
0 days 00:14:51.000000000,nachoboy1011
0 days 00:14:55.000000000,flashjj18017
0 days 00:15:08.000000000,SoulamBouleh
0 days 00:15:14.000000000,Bizake13
0 days 00:15:17.000000000,Mark11Walters
0 days 00:15:17.000000000,bigty_41
0 days 00:15:21.000000000,zacker10
0 days 00:15:23.000000000,Redsncars
0 days 00:15:29.000000000,MFnReds4256
0 days 00:15:37.000000000,Schillz23
0 days 00:15:40.000000000,DatKartDudeDH
0 days 00:15:48.000000000,Tapiocastroker
0 days 00:16:02.000000000,jesusfreak2748
0 days 00:16:05.000000000,OfficialAzyria
0 days 00:16:11.000000000,grey_roberts11
0 days 00:16:13.000000000,Jtogle20
0 days 00:16:17.000000000,Mindymin04
0 days 00:16:41.000000000,Stoft63
0 days 00:16:51.000000000,iambaileyharlow
0 days 00:16:56.000000000,Lumalucky
0 days 00:17:01.000000000,wNmvWZMpf7ZAZIh
0 days 00:17:09.000000000,JHarvey37
0 days 00:17:28.000000000,02Lovedear
0 days 00:17:31.000000000,Jake0wens
0 days 00:17:37.000000000,kajacobs6989
0 days 00:17:48.000000000,beast23mode
0 days 00:17:50.000000000,Larson17Randy
0 days 00:17:53.000000000,jonfox292
0 days 00:18:24.000000000,McBubberz
0 days 00:18:28.000000000,ClairFreebie
0 days 00:18:29.000000000,Bobby_Bogart
0 days 00:18:30.000000000,FloTownYaller
0 days 00:18:39.000000000,goofyinohio
0 days 00:18:52.000000000,jonkennedy28
0 days 00:19:03.000000000,An_The_Is
0 days 00:19:09.000000000,Ian_Bethune
0 days 00:19:23.000000000,Becpt
0 days 00:19:31.000000000,ZachHolman11
0 days 00:19:38.000000000,CodyKirschner
0 days 00:19:39.000000000,justin_ayres46
0 days 00:19:48.000000000,J0RDYHiGHR0LLER
0 days 00:19:50.000000000,Jimmy_2cK
0 days 00:19:50.000000000,emilyhoyle14
0 days 00:19:59.000000000,MichelleGMorgan
0 days 00:20:00.000000000,DJohnson101090
0 days 00:20:01.000000000,theeoriginal_G
0 days 00:20:02.000000000,_P3T3R5_
0 days 00:20:05.000000000,mwehrman
0 days 00:20:17.000000000,Origitune
0 days 00:20:22.000000000,isabellafelix55
0 days 00:20:29.000000000,bbonwell38
0 days 00:20:29.000000000,Pippo_Palmerez
0 days 00:20:37.000000000,YVONNE__CLARK
0 days 00:20:37.000000000,girt55
0 days 00:20:47.000000000,ItsInTheGame_EA
0 days 00:20:51.000000000,crloydmd
0 days 00:21:08.000000000,makandchz
0 days 00:21:11.000000000,tsarg96_
0 days 00:21:15.000000000,nick_jessee12
0 days 00:21:18.000000000,alexrene216
0 days 00:21:39.000000000,t0atiam
0 days 00:21:55.000000000,JMelz1323
0 days 00:22:11.000000000,ian_brown11
0 days 00:22:17.000000000,FryGuy4256
0 days 00:22:42.000000000,Paul_Lech
0 days 00:22:45.000000000,CLiegh_x3
0 days 00:22:54.000000000,hunt_Rob
0 days 00:23:07.000000000,NotTheFakeSkate
0 days 00:23:15.000000000,CarlosZepol30
0 days 00:23:30.000000000,maggie_jean1995
0 days 00:23:32.000000000,Jtburk22
0 days 00:23:34.000000000,colewaymeyer
0 days 00:23:37.000000000,knews23
0 days 00:23:45.000000000,Cmardis18
0 days 00:23:53.000000000,RitcheyJoshua
0 days 00:24:11.000000000,tuckasee
0 days 00:24:50.000000000,morgen_roberts4
0 days 00:25:07.000000000,SpencNuts
0 days 00:25:27.000000000,chickenwinner11
0 days 00:25:39.000000000,ronrhoten
0 days 00:26:12.000000000,TommiesMommy14
0 days 00:26:15.000000000,toorealraxh
0 days 00:26:17.000000000,AmsMonty
0 days 00:26:19.000000000,Realmdartist
0 days 00:26:25.000000000,JimHundley2
0 days 00:26:41.000000000,CincyRedsTalk
0 days 00:27:34.000000000,Hay_Hayden
0 days 00:27:40.000000000,weberjg88
0 days 00:27:50.000000000,jmillzdolabillz
0 days 00:27:50.000000000,JKelt
0 days 00:27:53.000000000,trey_woosley1
0 days 00:28:04.000000000,JonYoung12
0 days 00:28:06.000000000,ColeDupin
0 days 00:28:14.000000000,Czaweenie
0 days 00:28:34.000000000,KSHOWARD8
0 days 00:28:40.000000000,S_Armato
0 days 00:28:41.000000000,Erin_Romito
0 days 00:28:42.000000000,StuJu78
0 days 00:29:40.000000000,Ricky_Rozzay13
0 days 00:29:47.000000000,nikkibankert34
0 days 00:29:50.000000000,courtworker
0 days 00:29:54.000000000,eric_jaun
0 days 00:29:59.000000000,whitehead_L21
0 days 00:30:33.000000000,mattoneal
0 days 00:30:58.000000000,jonboy017
0 days 00:30:59.000000000,ESSEXMA
0 days 00:31:23.000000000,sixxbob
0 days 00:31:25.000000000,big_gigante
0 days 00:31:31.000000000,natplot_012
0 days 00:31:33.000000000,kwanfan1212
0 days 00:31:33.000000000,oriolesrise
0 days 00:31:38.000000000,vollrathrobby
0 days 00:32:07.000000000,WIETMARSCHEN
0 days 00:32:13.000000000,Pedro913D
0 days 00:32:22.000000000,mike4iu
0 days 00:33:07.000000000,AlyJohnson
0 days 00:33:25.000000000,The_Adam_Miller
0 days 00:33:27.000000000,eric_norton4
